address,suburb,postcode,sale_price,sale_date,property_type,bedrooms,bathrooms,parking_spaces,land_size_m2,sale_method,property_description,source,listing_url,full_address,geocode_level,latitude,longitude,coordinate_precision,coordinate_source,distance_to_cbd_km,nearest_station,distance_to_station_km
4/2 Musgrave Street,Mosman,2088,2287500,2026-03-20,Apartment-Unit,2,1,NA,80.0,Private Treaty,"Renovated apartment, one of four in a restored 1890s sea captain's mansion.",Domain,https://www.domain.com.au/4-2-musgrave-street-mosman-nsw-2088-2020620544,"4/2 Musgrave Street, Mosman, NSW 2088, Australia",NA,-33.84287829,151.23285333,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 2 Musgrave Street, Unit 4, Mosman, Sydney, New South Wales, 2088",3.6108672606926704,Milsons Point Station,1.9704866809835628
1/46B Parriwi Road,Mosman,2088,4350000,2026-03-20,Apartment-Unit,3,2,2.0,NA,Private Treaty,Villa-style garden apartment with north-easterly harbour views near Chinaman's Beach.,Domain,https://www.domain.com.au/1-46b-parriwi-road-mosman-nsw-2088-2020638925,"1/46B Parriwi Road, Mosman, NSW 2088, Australia",NA,-33.81270587,151.24552174,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 46B Parriwi Road, Unit 1, Mosman, Sydney, New South Wales, 2088",7.0778696481020384,Victoria Cross Station,4.489050671052231
3/13 McLeod Street,Mosman,2088,2080000,2026-05-15,Townhouse,3,2,2.0,155.6,Private Treaty,Split-level townhouse with the charm of a terrace and water/district views above Mosman Bay.,Domain,https://www.domain.com.au/3-13-mcleod-street-mosman-nsw-2088-2020616301,"3/13 McLeod Street, Mosman, NSW 2088, Australia",NA,-33.83976626,151.23288778,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 13 Mcleod Street, Unit 3, Mosman, Sydney, New South Wales, 2088",3.8944787429888894,Milsons Point Station,2.061644602497716
4/19-21 Countess Street,Mosman,2088,3000000,2026-04-22,Townhouse,3,3,2.0,NA,Private Treaty,Architect-designed terrace with light-filled interiors in a boutique development.,Domain,https://www.domain.com.au/4-19-21-countess-street-mosman-nsw-2088-2020198142,"4/19-21 Countess Street, Mosman, NSW 2088, Australia",NA,-33.82146882,151.23606947,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.9; matched: 19 Countess Street, Unit 4, Mosman, Sydney, New South Wales, 2088",5.814717623644131,Victoria Cross Station,3.2076004640837965
3/701 Military Road,Mosman,2088,2125000,2026-04-14,Townhouse,3,2,3.0,237.0,Private Treaty,Spacious townhouse in a boutique 6-unit block with soaring ceilings and ocean views.,Domain,https://www.domain.com.au/3-701-military-road-mosman-nsw-2088-2020310264,"3/701 Military Road, Mosman, NSW 2088, Australia",NA,-33.82743652,151.24370589,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 701 Military Road, Unit 3, Mosman, Sydney, New South Wales, 2088",5.590185458702342,Victoria Cross Station,3.544628124429416
3/12 Earl Street,Mosman,2088,2900000,2026-03-21,Townhouse,3,2,2.0,NA,Private Treaty,Expertly renovated residence with herringbone oak flooring in a boutique 4-unit collection.,Domain,https://www.domain.com.au/3-12-earl-street-mosman-nsw-2088-2020554063,"3/12 Earl Street, Mosman, NSW 2088, Australia",NA,-33.82375863,151.2364107,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 12 Earl Street, Unit 3, Mosman, Sydney, New South Wales, 2088",5.5993158804758645,Victoria Cross Station,3.098506398817245
5/30 Hale Road,Mosman,2088,1835000,2026-03-20,Townhouse,2,1,1.0,185.0,Private Treaty,"Two-storey townhouse in the ""Sutton Place"" development with landscaped gardens.",Domain,https://www.domain.com.au/5-30-hale-road-mosman-nsw-2088-2020615137,"5/30 Hale Road, Mosman, NSW 2088, Australia",NA,-33.82162547,151.23362572,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 30 Hale Road, Unit 5, Mosman, Sydney, New South Wales, 2088",5.706393320036792,Victoria Cross Station,3.0134352591613
1/105-107 Cowles Road,Mosman,2088,2260000,2026-03-07,Townhouse,3,2,2.0,NA,Auction,Private townhouse with contemporary finishes and entertaining terrace amid mature gardens.,Domain,https://www.domain.com.au/1-105-107-cowles-road-mosman-nsw-2088-2020566558,"1/105-107 Cowles Road, Mosman, NSW 2088, Australia",NA,-33.822852,151.23906139,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.85; matched: 105 Cowles Road, Unit 1, Mosman, Sydney, New South Wales, 2088",5.801560853859842,Victoria Cross Station,3.3610981259219113
2/9-11 Park Avenue,Mosman,2088,3300000,2026-03-02,Townhouse,4,2,2.0,NA,Private Treaty,Modern residence in a tranquil bayside location with house-like proportions.,Domain,https://www.domain.com.au/2-9-11-park-avenue-mosman-nsw-2088-2020442938,"2/9-11 Park Avenue, Mosman, NSW 2088, Australia",NA,-33.83365954,151.23443734,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.89; matched: 9 Park Avenue, Unit 2, Mosman, Sydney, New South Wales, 2088",4.544960882690416,Milsons Point Station,2.4940779414472245
1/103 Cowles Road,Mosman,2088,2347000,2025-12-05,Townhouse,3,2,2.0,213.0,Private Treaty,Tri-level townhouse in a boutique 4-unit collection with front/rear sun-filled courtyards.,Domain,https://www.domain.com.au/1-103-cowles-road-mosman-nsw-2088-2020402797,"1/103 Cowles Road, Mosman, NSW 2088, Australia",NA,-33.8230553,151.23902317,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 103 Cowles Road, Unit 1, Mosman, Sydney, New South Wales, 2088",5.779984031160093,Victoria Cross Station,3.3469451768695504
124 Thomas Street,Parramatta,2150,2300000,2026-06-27,House,3,1,1.0,739.0,Private Treaty,"Riverside development site adjacent to Parramatta River, near CBD/university/station.",Domain,https://www.domain.com.au/124-thomas-street-parramatta-nsw-2150-2020502073,"124 Thomas Street, Parramatta, NSW 2150, Australia",NA,-33.81267063,151.02123274,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 124 Thomas Street, Parramatta, Sydney, New South Wales, 2150",18.456676869801218,Parramatta Station,1.5643010217295974
39 Pitt Street,Parramatta,2150,1438888,2026-05-27,House,5,3,2.0,319.8,Auction,City-fringe semi-detached residence offering lifestyle convenience and connectivity.,Domain,https://www.domain.com.au/39-pitt-street-parramatta-nsw-2150-2020824771,"39 Pitt Street, Parramatta, NSW 2150, Australia",NA,-33.82289269,150.99498674,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 39 Pitt Street, Parramatta, Sydney, New South Wales, 2150",20.439876872376935,Parramatta Station,1.1282623676635588
11 Pemberton Street,Parramatta,2150,1610000,2026-05-27,House,3,1,1.0,461.6,Private Treaty,Free-standing home sold amid overwhelming buyer interest.,Domain,https://www.domain.com.au/11-pemberton-street-parramatta-nsw-2150-2020721730,"11 Pemberton Street, Parramatta, NSW 2150, Australia",NA,-33.81186219,151.01978116,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 11 Pemberton Street, Parramatta, Sydney, New South Wales, 2150",18.61336076338801,Parramatta Station,1.4748907574706673
51 Gore Street,Parramatta,2150,1480000,2026-05-16,House,3,1,1.0,461.6,Auction,"Classic home with fresh modern updates, newly painted interiors.",Domain,https://www.domain.com.au/51-gore-street-parramatta-nsw-2150-2020775848,"51 Gore Street, Parramatta, NSW 2150, Australia",NA,-33.80906796,151.01674649,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 51 Gore Street, Parramatta, Sydney, New South Wales, 2150",18.983900526923602,Parramatta Station,1.410851237888214
57 Pitt Street,Parramatta,2150,1310000,2026-05-12,House,4,2,2.0,236.0,Private Treaty,Torrens Title residence with layout designed for modern family living.,Domain,https://www.domain.com.au/57-pitt-street-parramatta-nsw-2150-2020749469,"57 Pitt Street, Parramatta, NSW 2150, Australia",NA,-33.82547495,150.99437989,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 57 Pitt Street, Parramatta, Sydney, New South Wales, 2150",20.42423216639899,Harris Park Station,1.248335135201228
28 Marsden Street,Parramatta,2150,1555000,2026-05-02,House,3,1,1.0,505.9,Auction,Clad residence on generous parcel with wide frontage and R4 zoning.,Domain,https://www.domain.com.au/28-marsden-street-parramatta-nsw-2150-2020744269,"28 Marsden Street, Parramatta, NSW 2150, Australia",NA,-33.82512085,150.99954934,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 28 Marsden Street, Parramatta, Sydney, New South Wales, 2150",19.97019849371945,Harris Park Station,0.7736992028781595
13 Morton Street,Parramatta,2150,1800000,2026-04-20,House,4,3,2.0,461.6,Private Treaty,Beautifully renovated four-bedroom family home in a peaceful cul-de-sac.,Domain,https://www.domain.com.au/13-morton-street-parramatta-nsw-2150-2020599158,"13 Morton Street, Parramatta, NSW 2150, Australia",NA,-33.81161576,151.01707632,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 13 Morton Street, Parramatta, Sydney, New South Wales, 2150",18.857715582845632,Parramatta Station,1.2670155000634689
58 Crimea Street,Parramatta,2150,1620000,2026-02-09,House,3,2,2.0,613.4,Private Treaty,Three-bedroom free-standing home; strong local buyer interest.,Domain,https://www.domain.com.au/58-crimea-street-parramatta-nsw-2150-2020324677,"58 Crimea Street, Parramatta, NSW 2150, Australia",NA,-33.82287643,150.99400689,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 58 Crimea Street, Parramatta, Sydney, New South Wales, 2150",20.527964223841135,Parramatta Station,1.2049472366013578
25 Lansdowne Street,Parramatta,2150,1500000,2025-12-13,House,3,1,2.0,NA,Auction,Classic weatherboard cottage with ornate ceilings; renovation/rebuild potential.,Domain,https://www.domain.com.au/25-lansdowne-street-parramatta-nsw-2150-2020416836,"25 Lansdowne Street, Parramatta, NSW 2150, Australia",2.0,-33.82238052,151.00182377,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 25 Lansdowne Street, Parramatta, Sydney, New South Wales, 2150",19.843893019926387,Harris Park Station,0.5489574864271174
114 Thomas Street,Parramatta,2150,1360000,2025-12-13,House,3,2,1.0,381.0,Auction,Well-maintained three-bedroom residence in a developing precinct.,Domain,https://www.domain.com.au/114-thomas-street-parramatta-nsw-2150-2020439528,"114 Thomas Street, Parramatta, NSW 2150, Australia",2.0,-33.81261669,151.02039204,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 114 Thomas Street, Parramatta, Sydney, New South Wales, 2150",18.531792307173536,Parramatta Station,1.4937363830603023
7A Irving Street,Parramatta,2150,1680000,2025-12-09,House,5,3,2.0,462.7,Private Treaty,Solid brick residence in a quiet cul-de-sac with gourmet kitchen and ensuite.,Domain,https://www.domain.com.au/7a-irving-street-parramatta-nsw-2150-2020289692,"7A Irving Street, Parramatta, NSW 2150, Australia",2.0,-33.81074819,151.0213376,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 7A Irving Street, Parramatta, Sydney, New South Wales, 2150",18.52116105128901,Parramatta Station,1.658454683218255
7 Trott Street,Parramatta,2150,1150000,2025-12-06,House,2,1,2.0,NA,Auction,"Charming period home with renovation potential, possible commercial use (STCA).",Domain,https://www.domain.com.au/7-trott-street-parramatta-nsw-2150-2020418375,"7 Trott Street, Parramatta, NSW 2150, Australia",2.0,-33.80573976,151.00324182,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 7 Trott Street, Parramatta, Sydney, New South Wales, 2150",20.282375455768157,Parramatta Station,1.320693722887449
1 Auburn Street,Parramatta,2150,1500000,2025-12-03,House,3,2,1.0,717.0,Private Treaty,Classic home with potential to renovate/rebuild; quiet family-oriented area.,Domain,https://www.domain.com.au/1-auburn-street-parramatta-nsw-2150-2020421139,"1 Auburn Street, Parramatta, NSW 2150, Australia",2.0,-33.82607534,150.99384303,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 1 Auburn Street, Parramatta, Sydney, New South Wales, 2150",20.456740777700375,Merrylands Station,1.1864490887779722
